biotaxon_naam,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species
Abra alba,141433,Abra alba,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,alba
Abra,141433,Abra alba,Animalia,Mollusca,Bivalvia,Cardiida,Semelidae,Abra,,alba
Administratief Geen observaties,0,Administratief Geen observaties,,,,,,,,
Amphipoda,1135,Amphipoda,Animalia,Arthropoda,Malacostraca,Amphipoda,,,,
Annelida,882,Annelida,Animalia,Annelida,,,,,,
Anomura,106671,Anomura,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
Anthozoa,1292,Anthozoa,Animalia,Cnidaria,Anthozoa,,,,,
Aoridae,101368,Aoridae,Animalia,Arthropoda,Malacostraca,Amphipoda,Aoridae,,,
Asteroidea,123080,Asteroidea,Animalia,Echinodermata,Asteroidea,,,,,
Balanus crenatus,106215,Balanus crenatus,Animalia,Arthropoda,Hexanauplia,Sessilia,Balanidae,Balanus,,crenatus
Bathyporeia,101742,Bathyporeia,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,
Bathyporeia elegans,103058,Bathyporeia elegans,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,elegans
Bathyporeia guilliamsoniana,103060,Bathyporeia guilliamsoniana,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,guilliamsoniana
Bathyporeia pelagica,103066,Bathyporeia pelagica,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,pelagica
Bathyporeia sarsi,103073,Bathyporeia sarsi,Animalia,Arthropoda,Malacostraca,Amphipoda,Bathyporeiidae,Bathyporeia,,sarsi
Bivalvia,105,Bivalvia,Animalia,Mollusca,Bivalvia,,,,,
Bodotria scorpioides,110445,Bodotria scorpioides,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Bodotria,,scorpioides
Brachyura,106673,Brachyura,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
Capitella,129211,Capitella,Animalia,Annelida,Polychaeta,,Capitellidae,Capitella,,
Capitellidae,921,Capitellidae,Animalia,Annelida,Polychaeta,,Capitellidae,,,
Caprellidae,101361,Caprellidae,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,,,
Chaetognatha,2081,Chaetognatha,Animalia,Chaetognatha,,,,,,
Chamelea striatula,141908,Chamelea striatula,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Chamelea,,striatula
Cirratulidae,919,Cirratulidae,Animalia,Annelida,Polychaeta,Terebellida,Cirratulidae,,,
Cnidaria,1267,Cnidaria,Animalia,Cnidaria,,,,,,
Conopeum reticulum,111351,Conopeum reticulum,Animalia,Bryozoa,Gymnolaemata,Cheilostomatida,Electridae,Conopeum,,reticulum
Corophium volutator,102101,Corophium volutator,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,volutator
Corophiidae,102101,Corophium volutator,Animalia,Arthropoda,Malacostraca,Amphipoda,Corophiidae,Corophium,,volutator
Corystes cassivelaunus,107277,Corystes cassivelaunus,Animalia,Arthropoda,Malacostraca,Decapoda,Corystidae,Corystes,,cassivelaunus
Crangon crangon,107552,Crangon crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,crangon
Crangon,107552,Crangon crangon,Animalia,Arthropoda,Malacostraca,Decapoda,Crangonidae,Crangon,,crangon
Cumopsis goodsir,110465,Cumopsis goodsir,Animalia,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Cumopsis,,goodsir
Decapoda,1130,Decapoda,Animalia,Arthropoda,Malacostraca,Decapoda,,,,
Diastylis bradyi,110472,Diastylis bradyi,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,bradyi
Diastylis,110472,Diastylis bradyi,Animalia,Arthropoda,Malacostraca,Cumacea,Diastylidae,Diastylis,,bradyi
Diogenes pugilator,107199,Diogenes pugilator,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Diogenes,,pugilator
Donax vittatus,139604,Donax vittatus,Animalia,Mollusca,Bivalvia,Cardiida,Donacidae,Donax,,vittatus
Echinocardium cordatum,124392,Echinocardium cordatum,Animalia,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,,cordatum
Echinocardium,124392,Echinocardium cordatum,Animalia,Echinodermata,Echinoidea,Spatangoida,Loveniidae,Echinocardium,,cordatum
Echinoidea,123082,Echinoidea,Animalia,Echinodermata,Echinoidea,,,,,
Ensis leei,876640,Ensis leei,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,leei
Ensis,876640,Ensis leei,Animalia,Mollusca,Bivalvia,Adapedonta,Pharidae,Ensis,,leei
Eteone flava,130613,Eteone flava,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eteone,,flava
Eucheilota maculata,117535,Eucheilota maculata,Animalia,Cnidaria,Hydrozoa,Leptothecata,Lovenellidae,Eucheilota,,maculata
Eumida,129446,Eumida,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,,
Eumida bahusiensis,130641,Eumida bahusiensis,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,,bahusiensis
Eumida sanguinea,130644,Eumida sanguinea,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Eumida,,sanguinea
Eunereis longissima,130375,Eunereis longissima,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,Eunereis,,longissima
Eurydice pulchra,118852,Eurydice pulchra,Animalia,Arthropoda,Malacostraca,Isopoda,Cirolanidae,Eurydice,,pulchra
Fabulina fabula,146907,Fabulina fabula,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Fabulina,,fabula
Gammarus crinicornis,102275,Gammarus crinicornis,Animalia,Arthropoda,Malacostraca,Amphipoda,Gammaridae,Gammarus,,crinicornis
Gastrosaccus spinifer,120020,Gastrosaccus spinifer,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Gastrosaccus,,spinifer
Gattyana amondseni,130748,Gattyana amondseni,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Gattyana,,amondseni
Glycera tridactyla,130130,Glycera tridactyla,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,tridactyla
Glycera,130130,Glycera tridactyla,Animalia,Annelida,Polychaeta,Phyllodocida,Glyceridae,Glycera,,tridactyla
Haustorius arenarius,102317,Haustorius arenarius,Animalia,Arthropoda,Malacostraca,Amphipoda,Haustoriidae,Haustorius,,arenarius
Hydrozoa,1337,Hydrozoa,Animalia,Cnidaria,Hydrozoa,,,,,
Idotea linearis,119046,Idotea linearis,Animalia,Arthropoda,Malacostraca,Isopoda,Idoteidae,Idotea,,linearis
Jassa marmorata,102433,Jassa marmorata,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,,marmorata
Jassa,102433,Jassa marmorata,Animalia,Arthropoda,Malacostraca,Amphipoda,Ischyroceridae,Jassa,,marmorata
Kurtiella bidentata,345281,Kurtiella bidentata,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Kurtiella,,bidentata
Lagis koreni,152367,Lagis koreni,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,Lagis,,koreni
Lanice conchilega,131495,Lanice conchilega,Animalia,Annelida,Polychaeta,Terebellida,Terebellidae,Lanice,,conchilega
Leucothoe incisa,102460,Leucothoe incisa,Animalia,Arthropoda,Malacostraca,Amphipoda,Leucothoidae,Leucothoe,,incisa
Limecola balthica,880017,Limecola balthica,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Limecola,,balthica
Liocarcinus holsatus,107388,Liocarcinus holsatus,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,,holsatus
Liocarcinus vernalis,107394,Liocarcinus vernalis,Animalia,Arthropoda,Malacostraca,Decapoda,Polybiidae,Liocarcinus,,vernalis
Lutraria lutraria,140295,Lutraria lutraria,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Lutraria,,lutraria
Macomangulus tenuis,878470,Macomangulus tenuis,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macomangulus,,tenuis
Mactra stultorum,140299,Mactra stultorum,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Mactra,,stultorum
Magelona johnstoni,129341,Magelona,Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,
Magelona mirabilis,129341,Magelona,Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,
Magelona,129341,Magelona,Animalia,Annelida,Polychaeta,,Magelonidae,Magelona,,
Malmgrenia,147006,Malmgrenia,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,,
Malmgrenia bicki,1044546,Malmgrenia bicki,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgrenia,,bicki
Malmgreniella darbouxi,863197,Malmgrenia darbouxi,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Malmgreniella,,darbouxi
Mediomastus fragilis,129892,Mediomastus fragilis,Animalia,Annelida,Polychaeta,,Capitellidae,Mediomastus,,fragilis
Megaluropus agilis,102783,Megaluropus agilis,Animalia,Arthropoda,Malacostraca,Amphipoda,Megaluropidae,Megaluropus,,agilis
Melita,101679,Melita,Animalia,Arthropoda,Malacostraca,Amphipoda,Melitidae,Melita,,
Microphthalmus similis,130176,Microphthalmus similis,Animalia,Annelida,Polychaeta,Phyllodocida,Microphthalmidae,Microphthalmus,,similis
Microphthalmus,130176,Microphthalmus similis,Animalia,Annelida,Polychaeta,Phyllodocida,Microphthalmidae,Microphthalmus,,similis
Microprotopus maculatus,102380,Microprotopus maculatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Microprotopidae,Microprotopus,,maculatus
Mollusca,51,Mollusca,Animalia,Mollusca,,,,,,
Monopseudocuma gilsoni,422916,Monopseudocuma gilsoni,Animalia,Arthropoda,Malacostraca,Cumacea,Pseudocumatidae,Monopseudocuma,,gilsoni
Mysis,149668,Mysida,Animalia,Arthropoda,Malacostraca,Mysida,,,,
Mysida,149668,Mysida,Animalia,Arthropoda,Malacostraca,Mysida,,,,
Mytilus edulis,140480,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis
Mytilidae,140480,Mytilus edulis,Animalia,Mollusca,Bivalvia,Mytilida,Mytilidae,Mytilus,,edulis
Nemertea,152391,Nemertea,Animalia,Nemertea,,,,,,
Nephtys,129370,Nephtys,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,
Nephtys assimilis,130353,Nephtys assimilis,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,assimilis
Nephtys caeca,130355,Nephtys caeca,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,caeca
Nephtys cirrosa,130357,Nephtys cirrosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,cirrosa
Nephtys hombergii,130359,Nephtys hombergii,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,hombergii
Nephtys longosetosa,130364,Nephtys longosetosa,Animalia,Annelida,Polychaeta,Phyllodocida,Nephtyidae,Nephtys,,longosetosa
Nereididae,22496,Nereididae,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,,,
Nereidinae,22496,Nereididae,Animalia,Annelida,Polychaeta,Phyllodocida,Nereididae,,,
Nototropis falcatus,102139,Nototropis falcatus,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis,,falcatus
Nototropis swammerdamei,488966,Nototropis swammerdamei,Animalia,Arthropoda,Malacostraca,Amphipoda,Atylidae,Nototropis,,swammerdamei
Ophelia borealis,130491,Ophelia borealis,Animalia,Annelida,Polychaeta,,Opheliidae,Ophelia,,borealis
Ophelia,130491,Ophelia borealis,Animalia,Annelida,Polychaeta,,Opheliidae,Ophelia,,borealis
Ophiura,123574,Ophiura,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,,
Ophiuroidea,123574,Ophiura,Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiuridae,Ophiura,,
Owenia borealis,329882,Owenia borealis,Animalia,Annelida,Polychaeta,,Oweniidae,Owenia,,borealis
Owenia,329882,Owenia borealis,Animalia,Annelida,Polychaeta,,Oweniidae,Owenia,,borealis
Pagurus bernhardus,107232,Pagurus bernhardus,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,,bernhardus
Paguridae,107232,Pagurus bernhardus,Animalia,Arthropoda,Malacostraca,Decapoda,Paguridae,Pagurus,,bernhardus
Paraonis fulgens,146932,Paraonis fulgens,Animalia,Annelida,Polychaeta,,Paraonidae,Paraonis,,fulgens
Paraonidae,146932,Paraonis fulgens,Animalia,Annelida,Polychaeta,,Paraonidae,Paraonis,,fulgens
Pariambus typicus,101857,Pariambus typicus,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Pariambus,,typicus
Pectinariidae,980,Pectinariidae,Animalia,Annelida,Polychaeta,Terebellida,Pectinariidae,,,
Perioculodes longimanus,102915,Perioculodes longimanus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Perioculodes,,longimanus
Phoronida,1789,Phoronida,Animalia,Phoronida,,,,,,
Phtisica marina,101864,Phtisica marina,Animalia,Arthropoda,Malacostraca,Amphipoda,Caprellidae,Phtisica,,marina
Phyllodoce,129455,Phyllodoce,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,,
Phyllodoce mucosa,334512,Phyllodoce mucosa,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,,mucosa
Phyllodoce rosea,334514,Phyllodoce rosea,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,Phyllodoce,,rosea
Eteoninae,931,Phyllodocidae,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,
Phyllodocidae,931,Phyllodocidae,Animalia,Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,
Pisione remota,130707,Pisione remota,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Pisione,,remota
Platyhelminthes,793,Platyhelminthes,Animalia,Platyhelminthes,,,,,,
Poecilochaetus serpens,130711,Poecilochaetus serpens,Animalia,Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,,serpens
Polychaeta,883,Polychaeta,Animalia,Annelida,Polychaeta,,,,,
Polynoidae,939,Polynoidae,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,,,
Pontocrates altamarinus,102916,Pontocrates altamarinus,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Pontocrates,,altamarinus
Pontocrates arenarius,102918,Pontocrates arenarius,Animalia,Arthropoda,Malacostraca,Amphipoda,Oedicerotidae,Pontocrates,,arenarius
Portumnus latipes,107400,Portumnus latipes,Animalia,Arthropoda,Malacostraca,Decapoda,Carcinidae,Portumnus,,latipes
Portunidae,106763,Portunidae,Animalia,Arthropoda,Malacostraca,Decapoda,Portunidae,,,
Polydora (Pseudopolydora) pulchra,131169,Pseudopolydora pulchra,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,,pulchra
Polydora,131169,Pseudopolydora pulchra,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,,pulchra
Pseudopolydora pulchra,131169,Pseudopolydora pulchra,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pseudopolydora,,pulchra
Pygospio elegans,131170,Pygospio elegans,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Pygospio,,elegans
Schistomysis kervillei,120203,Schistomysis kervillei,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Schistomysis,,kervillei
Schistomysis spiritus,120206,Schistomysis spiritus,Animalia,Arthropoda,Malacostraca,Mysida,Mysidae,Schistomysis,,spiritus
Scolelepis,129623,Scolelepis,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,,
Scolelepis foliosa,334741,Scolelepis (Scolelepis) foliosa,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,,foliosa
Scolelepis (Scolelepis) squamata,157566,Scolelepis (Scolelepis) squamata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis,squamata
Scolelepis squamata,157566,Scolelepis (Scolelepis) squamata,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,Scolelepis,squamata
Scolelepis bonnieri,131171,Scolelepis bonnieri,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Scolelepis,,bonnieri
Scoloplos (Scoloplos) armiger,130537,Scoloplos armiger,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,armiger
Scoloplos armiger,130537,Scoloplos armiger,Animalia,Annelida,Polychaeta,,Orbiniidae,Scoloplos,,armiger
Scopelocheirus hopei,102720,Scopelocheirus hopei,Animalia,Arthropoda,Malacostraca,Amphipoda,Scopelocheiridae,Scopelocheirus,,hopei
Sessilia,106033,Sessilia,Animalia,Arthropoda,Hexanauplia,Sessilia,,,,
Sigalion mathildae,131072,Sigalion mathildae,Animalia,Annelida,Polychaeta,Phyllodocida,Sigalionidae,Sigalion,,mathildae
Spatangoida,123106,Spatangoida,Animalia,Echinodermata,Echinoidea,Spatangoida,,,,
Spio,129625,Spio,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,
Spio goniocephala,131184,Spio goniocephala,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,goniocephala
Spio martinensis,131185,Spio martinensis,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,martinensis
Spio symphyta,596189,Spio symphyta,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spio,,symphyta
Spionidae,889,Spionida,Animalia,Annelida,Polychaeta,Spionida,,,,
Spionida,889,Spionida,Animalia,Annelida,Polychaeta,Spionida,,,,
Spiophanes bombyx,131187,Spiophanes bombyx,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Spiophanes,,bombyx
Spisula,138159,Spisula,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,,
Spisula solida,140301,Spisula solida,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,,solida
Spisula subtruncata,140302,Spisula subtruncata,Animalia,Mollusca,Bivalvia,Venerida,Mactridae,Spisula,,subtruncata
Streblospio benedicti,131191,Streblospio benedicti,Animalia,Annelida,Polychaeta,Spionida,Spionidae,Streblospio,,benedicti
Tellimya ferruginosa,146952,Tellimya ferruginosa,Animalia,Mollusca,Bivalvia,Galeommatida,Lasaeidae,Tellimya,,ferruginosa
Terebellida,900,Terebellida,Animalia,Annelida,Polychaeta,Terebellida,,,,
Tryphosa nana,102748,Tryphosa nana,Animalia,Arthropoda,Malacostraca,Amphipoda,Tryphosidae,Tryphosa,,nana
Urothoe poseidonis,103235,Urothoe poseidonis,Animalia,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,,poseidonis
Urothoe,103235,Urothoe poseidonis,Animalia,Arthropoda,Malacostraca,Amphipoda,Urothoidae,Urothoe,,poseidonis
